applicants,apply_type,base_salary,company_address_type,company_country,company_employees_on_linkedin,company_followers_on_linkedin,company_founded,company_headquarters,company_id,company_industry,company_locality,company_name,company_organization_type,company_postal_code,company_region,company_size,company_slogan,company_specialties,company_street,employment_type,industries,job_function,location,posted_datetime,seniority_level,title,skills
Be among the first 25 applicants,External Apply,,PostalAddress,US,94,2893,2007,"Alexandria, Virginia",2783280,Defense & Space,Alexandria,One Federal Solution,Privately Held,,Virginia,51-200 employees,OFS will accelerate your transformation with innovative technology solutions to adapt to an exceedingly virtual world.,"Information Technology, Software Development, Data Analytics, Business Intelligence, Data Strategy, Big Data, Cyber Resilience, Agile, Salesforce, AWS, and Application Development",2560 Huntington Ave,Full-time,Defense & Space,Other,"Pineville, LA",18/01/2025 8:28,Entry level,Records Examiner / Analyst,"['excel', 'database']"
Be among the first 25 applicants,External Apply,,,,14,113,,,96644436,Financial Services,,Logistics Management Institute,Public Company,,,2-10 employees,,,,Full-time,Financial Services,Engineering and Information Technology,"Washington, DC",18/01/2025 4:49,Mid-Senior level,Data Scientist - Clearance Required,"['python', 'data analytics']"
Be among the first 25 applicants,External Apply,"$90,000.00/yr - $180,000.00/yr",PostalAddress,US,16,1843,2017,"Highland, Maryland",11768307,Software Development,Highland,"Akina, Inc",Privately Held,20777,Maryland,11-50 employees,Consult | Design | Engineer | Implement ,"Software Development, Systems Engineering, Systems Integration, Project Management, Computer Networking, Virtualization and Cloud Computing, DevOps, and Systems Development",7001 Gardner Ln,Full-time,Software Development,Engineering and Information Technology,"Annapolis Junction, MD",18/01/2025 4:55,Entry level,Software Engineer - 0 (Python/GitOps),"['python', 'excel', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,361,5513,,"Aberdeen Proving Ground, Maryland",71685312,Armed Forces,Aberdeen Proving Ground,U.S. Army CECOM,Government Agency,21005,Maryland,"10,001+ employees",The U.S. Army Communications-Electronics Command (CECOM) sustains and delivers C5ISR readiness for American Soldiers.,,6585 Surveillance Loop,Full-time,Armed Forces,Information Technology,"Aberdeen Proving Ground, MD",18/01/2025 4:52,Entry level,IT SPECIALIST (APPSW),['database']
Be among the first 25 applicants,External Apply,"$105,000.00/yr - $122,000.00/yr",PostalAddress,US,261,2736,2001,"Beavercreek, OH",2432001,Defense and Space Manufacturing,Beavercreek,Sawdey Solution Services,Privately Held,45430,OH,201-500 employees,We provide our clients with premier professional services and technology solutions in an employee-centric environment.,"Cyber, C4ISR, Government Contracting & Acquisition, Advisory and Assistance Services, A&AS, Engineering Support Services, Intelligence, Acquisition, Operations, Financial Management, and Supply Chain",1430 Oak Ct.,Contract,Defense and Space Manufacturing,Engineering and Information Technology,"Henderson, NV",18/01/2025 5:26,Mid-Senior level,Data Pipeline Engineer,"['python', 'sql', 'excel', 'hadoop', 'spark', 'statistics', 'big data', 'postgres', 'database']"
111 applicants,External Apply,,PostalAddress,US,5881,106668,1896,"St Louis, Missouri",163631,Manufacturing,St Louis,Energizer Holdings,Public Company,63141,Missouri,"5,001-10,000 employees",Energizer Holdings responsibly creates products to make lives easier and more enjoyable.,"batteries, lighting, and autocare",533 Maryville University Dr,Full-time,Manufacturing,Information Technology,"St Louis, MO",18/01/2025 16:39,Associate,Data Engineer,"['sql', 'aws', 'azure', 'data analytics', 'data warehouse']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,118,1909,2013,"Southlake, Texas",15457021,Government Relations Services,Southlake,Joint Strategic Technologies,Privately Held,76092,Texas,51-200 employees,Elevate Your Impact,"Program Management, Acquisitions, DoD Contracting, Program Analyst, Leadership Development, and Leadership Training",596 N Kimball Ave,Full-time,Government Relations Services,Information Technology,"District of Columbia, United States",16/01/2025 0:00,Mid-Senior level,Data Management/Analysis Subject Matter Expert,[]
Be among the first 25 applicants,External Apply,,,,14,113,,,96644436,Financial Services,,Logistics Management Institute,Public Company,,,2-10 employees,,,,Full-time,Financial Services,Information Technology,"Washington, DC",18/01/2025 4:41,Mid-Senior level,Mid-Level Financial/Program Data Analyst,"['data visualization', 'database']"
Be among the first 25 applicants,External Apply,"$168,570.00/yr - $238,900.00/yr",PostalAddress,US,18117,101688,,"Los Angeles, California",407141,Outsourcing and Offshoring Consulting,Los Angeles,VXI Global Solutions,Privately Held,90071,California,"10,001+ employees",,"Operations Management, Customer Interaction Services, Digital, OmniChannel Support, CX Consulting, Customer Experience Management, NPS Management, BPO, ITO, Product Development, Embedded Solutions, Outsourcing, Offshoring, Customer Care, CX, Customer Experience, Call Center, and Agents",515 S Figueroa St,Full-time,Outsourcing and Offshoring Consulting,Human Resources,"San Francisco, CA",18/01/2025 4:43,Mid-Senior level,"Senior Manager, People Analytics","['python', 'sql', 'excel', 'power bi', 'tableau', 'aws', 'data visualization', 'data analytics']"
Be among the first 25 applicants,Easy Apply,,PostalAddress,US,5,22281,,"Atlanta, Georgia",64564430,Business Consulting and Services,Atlanta,Swipe Say Easy,Privately Held,30310,Georgia,11-50 employees,"At Swipe Say Easy, we believe in a healthy dose of play to fuel our work",,920 Murphy Ave SW,Full-time,Advertising Services,Marketing and Sales,"Atlanta, GA",18/01/2025 22:16,Not Applicable,Marketing Specialist,['excel']
Be among the first 25 applicants,External Apply,"$85,000.00/yr - $102,000.00/yr",PostalAddress,US,3696,45043,,"New York, NY",476416,Broadcast Media Production and Distribution,New York,Hearst Television,Privately Held,10019-3741,NY,"1,001-5,000 employees",,"Broadcasting, Television, and News",300 W 57th St,Full-time,Broadcast Media Production and Distribution,Information Technology,"New York, NY",18/01/2025 4:47,Mid-Senior level,Senior Editorial Data Analyst,"['sql', 'excel', 'r studio', 'data visualization', 'google analytics']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,18117,101688,,"Los Angeles, California",407141,Outsourcing and Offshoring Consulting,Los Angeles,VXI Global Solutions,Privately Held,90071,California,"10,001+ employees",,"Operations Management, Customer Interaction Services, Digital, OmniChannel Support, CX Consulting, Customer Experience Management, NPS Management, BPO, ITO, Product Development, Embedded Solutions, Outsourcing, Offshoring, Customer Care, CX, Customer Experience, Call Center, and Agents",515 S Figueroa St,Full-time,Outsourcing and Offshoring Consulting,Finance and Sales,"Baltimore, MD",18/01/2025 4:43,Mid-Senior level,Financial Analyst,['excel']
Be among the first 25 applicants,Easy Apply,,,,1,12,,,105526220,Hospitality,,Hospitality ahead,Self-Employed,,,1 employee,"All things Hospitality, Travel, Tourism and Hotels' investment",,,Part-time,Hospitality,Management and Manufacturing,United States,,Mid-Senior level,Hospitality Consultant,['excel']
Be among the first 25 applicants,External Apply,"$78,228.80/yr - $93,912.00/yr",PostalAddress,US,194,3046,1891,"Pasco, Washington",2381199,Government Administration,Pasco,City of Pasco,Government Agency,99301,Washington,201-500 employees,"Pasco, Washington is a place where people put down roots in a safe, forward-thinking, active environment.",,525 N. 3rd Ave.,Full-time,Government Administration,Other,"Pasco, WA",18/01/2025 19:14,Mid-Senior level,Planner III,[]
Be among the first 25 applicants,External Apply,$15.00/hr - $21.00/hr,PostalAddress,US,6249,45681,,"Phoenix, Arizona",25074192,Software Development,Phoenix,Datavant,Privately Held,85021,Arizona,"5,001-10,000 employees",Protect. Connect. Deliver.,"data privacy, health data, Release of Information, Medicaire Risk Adjustment, and Healthcare Interoperability",2222 W Dunlap Ave,Part-time,IT Services and IT Consulting,Information Technology,"Poughkeepsie, NY",18/01/2025 20:29,Entry level,Health Information Specialist I,[]
Be among the first 25 applicants,External Apply,,PostalAddress,IN,132,13059,2018,"Bangalore, Karnataka",14562120,Embedded Software Products,Bangalore,Swift,Privately Held,560037,Karnataka,11-50 employees,"Full-stack ecommerce enablement platform integrating checkout, payments and fulfillment for D2C brands and SMEs",,,Full-time,Embedded Software Products,Information Technology,"Chantilly, VA",18/01/2025 4:44,Mid-Senior level,Data Engineer,"['python', 'sql', 'hadoop', 'spark', 'big data', 'database']"
Be among the first 25 applicants,External Apply,"$80,026.00/yr - $91,122.00/yr",PostalAddress,US,252,2842,,"Menands, New York",2759648,Research,Menands,"Research Foundation for Mental Hygiene, Inc.",Nonprofit,12204,New York,"1,001-5,000 employees",,"Technology Transfer, Biotechnology, Mental Health Research, and Research Tool Development",150 Broadway,Full-time,Research,Information Technology,"Poughkeepsie, NY",16/01/2025 0:00,Mid-Senior level,Data Analyst,"['sql', 'excel', 'power bi', 'tableau', 'aws', 'azure', 'data visualization', 'statistics', 'power automate', 'database']"
Be among the first 25 applicants,External Apply,$24.04/hr - $30.54/hr,PostalAddress,US,39109,262785,1993,"Newport Beach, California",163025,Restaurants,Newport Beach,Chipotle Mexican Grill,Public Company,92660,California,"10,001+ employees",Real Food. Real People. Real Opportunities.,"Burritos, bowls, and tacos and salads.",610 Newport Center Dr,Full-time,Restaurants,Information Technology,"Columbus, OH",18/01/2025 21:47,Not Applicable,Observability & Monitoring - Internship,"['python', 'aws', 'statistics', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,20,14698,,"San Francisco, California",75031133,IT Services and IT Consulting,San Francisco,"The Dignify Solutions, LLC",Privately Held,94111,California,51-200 employees,Objective. Collaborative. Compassion - Trusted IT Staff Augmentation & Solutions Services Partner,Information Technology - Staffing & Solutions Services,50 California St,Full-time,IT Services and IT Consulting,Information Technology,"Jersey City, NJ",18/01/2025 8:28,Mid-Senior level,Data Architect - Fulltime - 100% Remote,"['python', 'sql', 'data warehouse', 'sql server']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,1184,114473,1864,"New York, NY",12462,Non-profit Organizations,New York,Girls Inc.,Nonprofit,10005,NY,11-50 employees,"Inspiring all girls to be strong, smart, and bold.",,120 Wall Street,Full-time,Non-profit Organizations,Education and Training,"Indianapolis, IN",18/01/2025 6:46,Entry level,Curriculum Specialist,"['excel', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,193,8148,2008,"Reston, VA",327412,Advertising Services,Reston,Resonate,Privately Held,20190,VA,51-200 employees,"The deepest, freshest, most actionable consumer data. One easy-to-use, AI-driven platform ready for a post-cookie world.","Intelligence-to-Activation, Marketing Analytics, Online advertising, Values and motivations based marketing, Brand marketing, Attitudinal targeting, Political campaign advertising, Brand advertising, Issue advocacy advertising, Consumer Insights, Media Activation , Data, Digital Marketing, Consumer Research, Market Segmentation, Digital Marketing Measurement, Marketing Insights, Advertising Insights, Marketing Planning, Advertising Planning, Customer Experience Planning, AI-Driven Insights, Marketing Data, Customer Data, Data Enrichment, Marketing Research, Market Research, DMP, CDP, Data Append, Custom Research, Marketing Activation, Advertising Activation, Segmentation, Managed Media, Media Planning, Customer Acquisition, Customer Engagement, Advertising Analytics, Marketing Performance, ROAS, Advertising Targeting, Audience Insights, Agile Marketing, Psychographic Data, Consumer Sentiment Tracking, Consumer Trends, Voter Data, Voter Targeting, and Voter Insights",11720 Plaza America Drive,Full-time,"Technology, Information and Internet",Engineering and Information Technology,"Washington, DC",18/01/2025 3:37,Mid-Senior level,Senior Data Scientist,"['python', 'machine learning', 'deep learning', 'aws', 'statistics']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,50,14576,1869,"Knoxville, TN",1153395,Non-profit Organizations,Knoxville,"Knoxville Chamber (Knoxville, Tennessee)",Nonprofit,37902,TN,11-50 employees,"Serving as the collective, influential voice for the regional business community.","Small Business Development/Consulting, Networking, Business Advocacy, Economic Development, Workforce Development, Community, Non-Profit, Events, Marketing, and Professional Development","17 Market Square, #201",Full-time,Non-profit Organizations,Information Technology,"Knoxville, TN",18/01/2025 2:34,Internship,Data Analytics &amp;amp; Process Support Student,"['excel', 'powerbi']"
Be among the first 25 applicants,External Apply,$16.61/hr - $17.97/hr,PostalAddress,US,383,5822,1894,"Pearland, TX",1493856,Government Administration,Pearland,"City of Pearland, Texas",Public Company,77581,TX,"501-1,000 employees","Pronounced ""pear-land,""‚Äã like the fruit","Economic Development, infrastructure, public safety, budgeting and finance, citizen engagement, roads and utilities, parks and recreation, emergency managemen, and local government",3519 Liberty Dr.,Full-time,Government Administration,Legal,"Pearland, TX",16/01/2025 0:00,Entry level,Deputy Court Clerk,"['excel', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,23391,262139,,"Washington, DC",4746,Government Administration,Washington,USDA,Government Agency,20250,DC,"10,001+ employees","Leadership on food, agriculture, natural resources, rural development, nutrition and related issues","USDA is committed to providing safe and nutritious food, conservation, sustainable food production and revitalizing rural America.",1400 Independence Ave,Full-time,Government Administration,"Research, Analyst, and Information Technology","Fort Collins, CO",17/01/2025 0:00,Mid-Senior level,Biologist,[]
Be among the first 25 applicants,External Apply,$20.00/hr - $30.00/hr,PostalAddress,US,102,958,1973,"Saddle Brook, New Jersey",40735156,Staffing and Recruiting,Saddle Brook,"HEPCO, Inc.",Partnership,7663,New Jersey,201-500 employees,"Engineering, IT, Telecommunications-temp & perm staffing and recruiting |  SDVOSB | since 1973 |","recruiting, staffing, engineering, IT, Telecommunications, payroll, SDVOSB, aerospace, aviation, transit, security clearance, DoD contracts, and defense contracts",160 Pehle Ave,Contract,Staffing and Recruiting,Management and Manufacturing,"Albany, NY",18/01/2025 8:32,Entry level,Statistical Assistant,"['excel', 'statistics', 'database']"
Over 200 applicants,External Apply,"$67,836.00/yr - $73,734.00/yr",PostalAddress,US,471,2985,2006,"Avon, OH",701218,Wellness and Fitness Services,Avon,HealthSource® - America's Chiropractor,Privately Held,44011,OH,11-50 employees,America's Chiropractor dedicated to helping you do what you love!,"Chiropractic, Franchising, Back Pain, and Neck Pain",36901 American Way Ste 7,Full-time,Wellness and Fitness Services,Health Care Provider,United States,,Entry level,Medical Records Clerk,[]
Be among the first 25 applicants,External Apply,"$95,000.00/yr - $150,000.00/yr",,,2,716,2008,,1762307,Advertising Services,,Slalom Marketing Consulting,Public Company,,,1 employee,,"Marketing strategy development, Brand development, Communications, Events, and Lead generation campaigns",,Full-time,Advertising Services,Information Technology,"Denver, CO",18/01/2025 4:43,Mid-Senior level,Data Engineer,"['python', 'sql', 'aws', 'azure', 'gcp', 'spark', 'data warehouse', 'snowflake', 'brick', 'database']"
52 applicants,External Apply,"$129,400.00/yr - $177,900.00/yr",PostalAddress,US,48222,539929,,"Louisville, Kentucky",4257,Insurance,Louisville,Humana,Public Company,,Kentucky,"10,001+ employees",,,500 W Main St,Full-time,Insurance,Engineering and Information Technology,"Illinois, United States",18/01/2025 0:56,Mid-Senior level,Senior Data Scientist,"['python', 'sql', 'power bi', 'tableau', 'machine learning', 'deep learning', 'aws', 'azure', 'spark', 'data analytics', 'statistics', 'nlp', 'big data', 'brick']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,133125,927869,1979,"Atlanta, Georgia",1534,Retail,Atlanta,The Home Depot,Public Company,30339,Georgia,"10,001+ employees",careers.homedepot.com,"retail, home improvement, and customer service",2455 Paces Ferry Road,Full-time,Consumer Services,Other,"Atlanta, GA",18/01/2025 8:59,Not Applicable,Lead Data Scientist - Decision Analytics,"['python', 'sql', 'tableau', 'data visualization', 'statistics', 'nlp']"
Be among the first 25 applicants,Easy Apply,"$190,000.00/yr - $250,000.00/yr",,,1,260,,,104197161,Staffing and Recruiting,,Magenta Search,Self-Owned,,,1 employee,"A boutique recruitment solution specializing in Go-To-Market hiring for B2B SaaS, e-commerce, B2C, and healthcare tech",,,Full-time,Software Development and Financial Services,Marketing,New York City Metropolitan Area,19/01/2025 0:31,Director,Director of Product Marketing,[]
32 applicants,External Apply,"$104,600.00/yr - $140,200.00/yr",PostalAddress,US,181217,5869476,,"Burbank, CA",1292,Entertainment Providers,Burbank,The Walt Disney Company,Public Company,91521,CA,"10,001+ employees",,"Entertainment, Technology, Media, Movies, Television, Consumer Products, Theme Parks, Resorts, Interactive Media, Publishing, Radio, Live Entertainment, Music, Stage Plays, Animation, Studios, Apparel, Apps, Gaming, and Toys",The Walt Disney Company,Full-time,Entertainment Providers,Project Management and Information Technology,"Santa Monica, CA",18/01/2025 14:59,Mid-Senior level,Technical Program Manager,"['tableau', 'data analytics']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,193,8148,2008,"Reston, VA",327412,Advertising Services,Reston,Resonate,Privately Held,20190,VA,51-200 employees,"The deepest, freshest, most actionable consumer data. One easy-to-use, AI-driven platform ready for a post-cookie world.","Intelligence-to-Activation, Marketing Analytics, Online advertising, Values and motivations based marketing, Brand marketing, Attitudinal targeting, Political campaign advertising, Brand advertising, Issue advocacy advertising, Consumer Insights, Media Activation , Data, Digital Marketing, Consumer Research, Market Segmentation, Digital Marketing Measurement, Marketing Insights, Advertising Insights, Marketing Planning, Advertising Planning, Customer Experience Planning, AI-Driven Insights, Marketing Data, Customer Data, Data Enrichment, Marketing Research, Market Research, DMP, CDP, Data Append, Custom Research, Marketing Activation, Advertising Activation, Segmentation, Managed Media, Media Planning, Customer Acquisition, Customer Engagement, Advertising Analytics, Marketing Performance, ROAS, Advertising Targeting, Audience Insights, Agile Marketing, Psychographic Data, Consumer Sentiment Tracking, Consumer Trends, Voter Data, Voter Targeting, and Voter Insights",11720 Plaza America Drive,Full-time,"Technology, Information and Internet",Sales and Business Development,"Washington, DC",18/01/2025 3:37,Entry level,Account Development Representative - Data,"['excel', 'aws']"
Be among the first 25 applicants,External Apply,"$79,300.00/yr - $127,000.00/yr",PostalAddress,US,86749,582621,1901,"Deerfield, IL",3589,Retail Pharmacies,Deerfield,Walgreens,Public Company,60015,IL,"10,001+ employees",,"Beauty, Pharmacy, Health, Wellness, Retail, omnichannel, and healthcare",108 Wilmot Road,Full-time,Retail Pharmacies,"Research, Analyst, and Information Technology","Deerfield, IL",18/01/2025 13:49,Not Applicable,Senior Business Analyst - Digital Pharmacy Operations & Automation,"['sql', 'excel', 'sql server', 'database']"
39 applicants,Easy Apply,,PostalAddress,US,3,6099,2024,"Smyrna, Delaware",104714358,Staffing and Recruiting,Smyrna,James Search Group,Privately Held,19977,Delaware,2-10 employees,"Recruitment Consultancy for Legal Services, Financial Services and Technology.","Financial Services Recruitment, Legal Services Recruitment, Technology Recruitment, and P&C Insurance Recruitment",74 E Glenwood Ave,Full-time,Investment Banking,Business Development and Consulting,United States,,Mid-Senior level,Director Investment Banking,['database']
Be among the first 25 applicants,External Apply,,PostalAddress,US,114,5475,2014,Los Angeles,90638112,Consumer Services,Los Angeles,YONDR,Privately Held,,,51-200 employees,Phone-Free Spaces,,,Full-time,Consumer Services,Human Resources,United States,,Director,"Regional Manager, Education Partner Success - West Coast",[]
Be among the first 25 applicants,External Apply,,PostalAddress,US,89,864,1977,"Grand Rapids, MI",834647,IT Services and IT Consulting,Grand Rapids,Moss,Privately Held,49503,MI,51-200 employees,Guiding our neighbors from design to deployment since 1977 | GR Family-Owned Business of the Year,"Cabling Solutions, Network Solutions, Managed IT Services, Security, IP Telephony, Audio Video, Surveillance, Fleet Management, Networks, Physical Security, Access Control, Communications, Transit Management, Unified Communications, and Audio Visual",561 Century Ave,Full-time,Human Resources Services,Human Resources,"Fort Lauderdale, FL",18/01/2025 20:31,Entry level,HR Administrative Assistant,['excel']
Be among the first 25 applicants,External Apply,,PostalAddress,US,1511,114867,,"Cambridge, MA",617961,Biotechnology Research,Cambridge,Sarepta Therapeutics,Public Company,2142,MA,"1,001-5,000 employees",Dragging Tomorrow Into Today. ,,215 First Street,Full-time,Biotechnology Research,Business Development and Sales,"Burlington, MA",18/01/2025 5:29,Director,"Senior Director, Strategy & Operations","['excel', 'data analytics']"
47 applicants,External Apply,"$99,600.00/yr - $169,200.00/yr",PostalAddress,US,28603,539032,1889,"Chicago, Illinois",3831,Financial Services,Chicago,Northern Trust,Public Company,60603,Illinois,"10,001+ employees",Dynamic careers. Brighter futures. Greater possibilities.,"Asset Management, Corporate and Institutional Services, Wealth Management, Asset Servicing, Financial Technology, Private Banking, Trust and Estate Services, Capital Markets, Securities Services, Retirement Solutions, Fund Services, Equity, Mutual Funds, Global Family Office Services, Sustainable Investing, Front and Middle Office Services, Wealth Planning, Business Owner Services, Fixed Income, Regulatory Services, Liquidity, and Pensions",50 S. La Salle,Full-time,Financial Services,Information Technology,"Chicago, IL",18/01/2025 2:05,Mid-Senior level,Data Engineer,"['python', 'sql', 'machine learning', 'aws', 'azure', 'data analytics', 'big data', 'data warehouse', 'snowflake', 'brick']"
Over 200 applicants,External Apply,"$94,500.00/yr - $133,400.00/yr",PostalAddress,US,615,16815,1998,"Costa Mesa, CA",93023,Software Development,Costa Mesa,MeridianLink,Public Company,92626,CA,"501-1,000 employees",MeridianLink powers cloud-based digital lending & account opening solutions for FIs & data verification for CRAs.,"technology, financial services, banking, loan origination system, Loan Origination, Credit Union, Mortgage Systems, Loan System, Loan Software, Software for Credit Unions, and Banking Software","3560 Hyland Ave, Suite #200",Full-time,Software Development,Information Technology,United States,,Entry level,Data Engineer - #1695,"['machine learning', 'database']"
95 applicants,External Apply,"$95,200.00/yr - $134,600.00/yr",PostalAddress,US,27114,2045993,,"Foster City, California",2190,IT Services and IT Consulting,Foster City,Visa,Public Company,,California,"10,001+ employees",,Global payments technology company,900 Metro Center Blvd,Full-time,IT Services and IT Consulting,Engineering,"Austin, TX",18/01/2025 2:55,Associate,Data and Feature Engineer,"['python', 'machine learning', 'deep learning', 'spark']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,2021,13955,,"Tahlequah, OK",37231,Government Administration,Tahlequah,Cherokee Nation,Government Agency,74464,OK,"10,001+ employees",,,17675 S. Muskogee Ave.,Full-time,IT Services and IT Consulting,Information Technology,"Tahlequah, OK",18/01/2025 20:31,Not Applicable,"Coordinator, Infrastructure Data",['database']
Be among the first 25 applicants,External Apply,,PostalAddress,US,85,6009,2017,"Elk Grove Village, Illinois",22310981,Pharmaceutical Manufacturing,Elk Grove Village,Firma Clinical Research,Privately Held,60007,Illinois,51-200 employees,"We are a quality-certified, global CRO.","CRO, Contract Research Organization, Drug Development, Clinical Operations, Clinical Pharmacology, Remote Visits, Biostatistics, Data Management, Medical Writing, Regulatory Strategy, Clinical Research, Data Services, Regulatory, Clinical Pharmacology, Clinical Consulting, Home Health, and Clinical Trials",881 Busse Rd,Full-time,Pharmaceutical Manufacturing,Information Technology,"Elk Grove Village, IL",17/01/2025 0:00,Mid-Senior level,Principal Data Manager,['database']
Be among the first 25 applicants,External Apply,"$60,967.00/yr - $87,539.00/yr",PostalAddress,US,13650,144950,1789,"Washington, DC",5064,Government Administration,Washington,U.S. Department of the Treasury,Government Agency,20005,DC,"10,001+ employees",This is the official account of the U.S. Department of the Treasury.,,1500 Pennsylvania Ave NW,Full-time,IT Services and IT Consulting,Information Technology,"Philadelphia, PA",18/01/2025 21:21,Entry level,Computer Assistant (NTE 1 Year MBE MBP),['excel']
Be among the first 25 applicants,External Apply,"$53,370.00/yr - $61,376.00/yr",PostalAddress,US,1316,20635,1978,"New York, NY",233394,Government Administration,New York,NYC Department of Housing Preservation & Development,Government Agency,10038,NY,"1,001-5,000 employees",,"Affordable Housing, Architecture and Planning, Real Property Management, Economic Development, Code Enforcement, and Financial Assistance",100 Gold Street,Full-time,Government Administration,Administrative,"New York, NY",18/01/2025 22:25,Entry level,Administrative Assistant,"['excel', 'database']"
41 applicants,Easy Apply,"$30,000.00/yr - $150,000.00/yr",,,1,31,,,105177768,Space Research and Technology,,Velocity,Privately Held,,,2-10 employees,We Build Future Technology & Ai Systems to Grow Companies Sales,"Ai, Growth, and Aerospace",,Contract,Space Research and Technology,Marketing and Sales,"Miami, FL",18/01/2025 15:41,Entry level,Marketing Media Buyer (Instagram & Facebook),[]
Be among the first 25 applicants,External Apply,$18.00/hr - $19.00/hr,PostalAddress,US,30598,3635645,1948,"Menlo Park, CA",1681,Staffing and Recruiting,Menlo Park,Robert Half,Public Company,94025,CA,"10,001+ employees","Helping you find skilled candidates, in-demand jobs, and solutions you need to do your best work yet.","consulting services, accounting jobs, finance jobs, administrative jobs, legal jobs, IT jobs, recruitment, recruitment agency, creative jobs, staffing, hiring, employment agency, contract talent, contract professionals, talent solutions, contract employment, permanent placement, customer support jobs, and marketing jobs",2884 Sand Hill Road Suite 200,Contract,Staffing and Recruiting,Management and Manufacturing,"New York, NY",18/01/2025 19:31,Not Applicable,Statistical Assistant,"['excel', 'statistics', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,299,2046,1971,"Carrollton, Ga",128057,Financial Services,Carrollton,"Systems & Methods, Inc. (SMI)",Privately Held,30117,Ga,"501-1,000 employees",Family Serving Families¬Æ,"Prepaid Debit Card Services, Payment Processing, Call Center Services, Case Management Services, Financial Management and Accounting Services, Electronic and Data Management, Child Support Services, and Fintech",106 Wedgewood Drive,Full-time,Financial Services,Accounting/Auditing and Finance,"Denver, CO",18/01/2025 0:02,Entry level,Data Entry/Payment Processor (Operations Specialist),[]
37 applicants,External Apply,,PostalAddress,US,47644,326904,1927,"Irving, TX",6176,Retail,Irving,7-Eleven,Privately Held,75063,TX,"10,001+ employees","The 7‑Eleven brand is known and loved around the world, and our iconic products are a big part of the American culture.","Retail, convenience, franchise, jobs, international, license, food, and beverage",3200 Hackberry Rd,Full-time,Retail,Business Development and Sales,"Irving, TX",18/01/2025 13:47,Entry level,"Analyst, Beverages","['excel', 'powerbi']"
Be among the first 25 applicants,External Apply,"$66,800.00/yr - $142,800.00/yr",PostalAddress,US,700180,33425635,,"Seattle, WA",1586,Software Development,Seattle,Amazon,Public Company,98109,WA,"10,001+ employees",,"e-Commerce, Retail, Operations, and Internet",2127 7th Ave.,Full-time,Software Development,"Project Management, Management, and Product Management","Seattle, WA",18/01/2025 21:26,Mid-Senior level,"Program Manager, Global Sustainability, GVM","['sql', 'excel']"
Be among the first 25 applicants,Easy Apply,,,,1,12,,,105526220,Hospitality,,Hospitality ahead,Self-Employed,,,1 employee,"All things Hospitality, Travel, Tourism and Hotels' investment",,,Part-time,Hospitality,,United States,,Mid-Senior level,Hospitality Consultant,['excel']
Be among the first 25 applicants,Easy Apply,,PostalAddress,DE,691,27973,,D-75223 Niefern √ñschelbronn,331920,Research,D-75223 Niefern √ñschelbronn,Eurofins Agroscience Services,Privately Held,D-75223,,"501-1,000 employees","One-stop service - world-class, worldwide","GLP Residue Studies, GLP Efficacy Trials, Ecotoxicology, Physical Chemistry, Environmental Fate and Metabolism, Regulatory Affairs, Dermal Absorption, BAD Compilation, Aquatic toxicology, Biocides / ESS, Biotechnology, Processing Studies, REACH, and Project Management",Eutinger Strasse 24,Full-time,Research,"Research, Analyst, and Information Technology","Columbia, MO",18/01/2025 2:41,Entry level,"Associate Scientist, Data Review",['excel']
39 applicants,External Apply,"$118,900.00/yr - $205,600.00/yr",PostalAddress,US,700180,33425635,,"Seattle, WA",1586,Software Development,Seattle,Amazon,Public Company,98109,WA,"10,001+ employees",,"e-Commerce, Retail, Operations, and Internet",2127 7th Ave.,Full-time,Software Development,"Information Technology, Consulting, and Engineering","Seattle, WA",18/01/2025 9:25,Not Applicable,"Data Engineer, Alexa Enterprise Data","['python', 'sql', 'aws', 'big data', 'database']"
Be among the first 25 applicants,Easy Apply,,PostalAddress,US,5,22281,,"Atlanta, Georgia",64564430,Business Consulting and Services,Atlanta,Swipe Say Easy,Privately Held,30310,Georgia,11-50 employees,"At Swipe Say Easy, we believe in a healthy dose of play to fuel our work",,920 Murphy Ave SW,Full-time,Business Consulting and Services,Marketing,"Columbus, OH",18/01/2025 22:31,Entry level,Marketing Specialist,['excel']
